Accession;TM domains;Signal peptide;TM string
A8MTQ0;0;0;i
A8MTZ0;0;0;i
A8MU46;0;0;i
A8MUP2;0;Y;n8-18c26/27o
A8MV65;0;0;i
A8MVW5;1;0;o352-372i
A8MW92;0;0;i
A8MW95;0;0;i
A8MW99;0;Y;n13-20c24/25o
A8MXD5;0;0;i
A8MXV4;0;Y;n15-25c30/31o
A8MYU2;6;0;o23-49i100-123o143-160i227-246o266-284i291-309o
A8MZ59;0;0;i
A8TX70;0;Y;n3-13c18/19o
A9QM74;0;0;i
A9UHW6;0;0;i
A9YTQ3;0;0;i
B0I1T2;0;0;i
B0L3A2;0;Y;n17-28c35/36o
B0YJ81;5;0;o76-99i120-143o168-191i203-225o248-268i
B1AK53;0;0;i
B1AL88;1;0;i40-58o
B2RTY4;1;0;i175-195o
B2RUY7;0;Y;n8-18c22/23o
B2RUZ4;1;0;o49-74i
B2RXF5;0;0;i
B2RXH2;0;0;i
B3KU38;0;0;i
B6A8C7;1;Y;n5-11c16/17o234-256i
B7U540;2;0;i82-106o156-182i
B7ZAQ6;9;0;o6-26i38-63o75-98i110-127o147-169i288-310o343-368i380-402o422-443i
C4AMC7;0;0;i
C9JE40;0;0;i
C9JLW8;0;0;i
C9JR72;0;0;i
C9JRZ8;0;0;i
D3W0D1;1;0;o29-51i
D6RGH6;0;0;i
E0CX11;0;Y;n2-10c15/16o
F5H094;12;0;i29-52o64-84i96-117o170-195i207-231o258-281i337-360o376-397i404-428o535-558i570-591o624-647i
G2XKQ0;0;0;i
H0YL14;2;Y;n18-25c30/31o54-84i114-137o
H3BV60;1;Y;n2-12c30/31o245-268i
K7EJ46;1;0;o32-57i
K9M1U5;0;Y;n5-16c21/22o
L0R8F8;0;0;i
M0R2J8;0;0;i
O00115;0;Y;n4-12c16/17o
O00116;0;Y;n4-15c22/23o
O00124;2;0;o6-22i34-59o
O00139;0;0;i
O00141;0;0;i
O00142;0;0;i
O00144;7;Y;n8-18c22/23o231-255i267-287o319-343i355-376o396-427i448-469o508-529i
O00148;0;0;i
O00151;0;0;i
O00154;0;0;i
O00155;7;0;o44-65i77-102o114-135i156-177o197-222i243-267o287-310i
O00159;0;0;i
O00160;0;0;i
O00161;0;0;i
O00165;0;0;i
O00167;0;0;i
O00168;1;Y;n4-15c20/21o36-56i
O00170;0;0;i
O00175;0;Y;n3-14c18/19o
O00178;0;0;i
O00180;5;0;i21-44o135-157i178-203o215-232i244-264o
O00182;0;0;i
O00186;0;0;i
O00187;0;Y;n3-11c15/16o
O00189;0;0;i
O00192;0;0;i
O00194;0;0;i
O00198;1;0;o68-87i
O00203;0;0;i
O00204;0;0;i
O00206;1;Y;n7-18c23/24o633-652i
O00212;0;0;i
O00213;0;0;i
O00214;0;0;i
O00217;0;Y;n3-14c19/20o
O00219;7;0;i12-36o42-65i384-402o408-429i441-462o474-498i510-534o
O00220;1;Y;n8-16c23/24o240-265i
O00221;0;0;i
O00222;7;0;o583-609i621-643o649-668i689-716o747-768i780-802o822-844i
O00231;0;0;i
O00232;0;0;i
O00233;0;0;i
O00237;3;Y;n5-16c24/25o326-344i353-378o410-431i
O00238;1;0;o127-148i
O00241;1;Y;n10-21c29/30o371-394i
O00244;0;0;i
O00253;0;Y;n4-15c20/21o
O00254;7;Y;n4-15c19/20o96-119i131-152o172-196i208-230o260-283i304-325o337-360i
O00255;0;0;i
O00257;0;0;i
O00258;3;0;o6-28i102-124o149-170i
O00264;1;0;o25-43i
O00267;0;0;i
O00268;0;0;i
O00270;6;0;o12-40i52-76o88-110i130-151o175-201i222-245o
O00273;0;0;i
O00287;0;0;i
O00291;0;0;i
O00292;0;Y;n4-15c23/24o
O00294;0;0;i
O00299;0;0;i
O00300;0;Y;n4-12c17/18o
O00303;0;0;i
O00305;0;0;i
O00308;0;0;i
O00311;0;0;i
O00322;4;0;i12-40o60-86i93-115o233-255i
O00327;0;0;i
O00329;0;0;i
O00330;0;0;i
O00337;13;0;i81-104o110-128i148-167o179-195i202-222o262-283i295-318o338-360i367-386o424-446i458-479o532-556i568-592o
O00338;0;0;i
O00339;0;Y;n5-19c23/24o
O00341;9;0;o20-39i60-80o95-114i220-240o260-281i293-319o331-356i368-393o405-434i
O00358;0;0;i
O00370;0;0;i
O00391;1;Y;n13-24c29/30o714-731i
O00399;0;0;i
O00400;10;0;i75-99o111-131i143-160o176-197i253-278o298-324i345-363o375-396i408-429o509-528i
O00401;0;0;i
O00408;0;0;i
O00409;0;0;i
O00410;0;0;i
O00411;0;0;i
O00418;0;0;i
O00421;6;0;o40-64i76-95o107-126i147-170o204-223i235-254o
O00422;0;0;i
O00423;0;0;i
O00425;0;0;i
O00429;0;0;i
O00442;0;0;i
O00443;0;0;i
O00444;0;0;i
O00445;1;0;o30-51i
O00451;0;Y;n2-13c21/22o
O00453;1;0;o12-34i
O00459;0;0;i
O00461;1;0;i12-34o
O00462;0;Y;n3-13c18/19o
O00463;0;0;i
O00468;0;Y;n13-24c29/30o
O00469;0;Y;n10-17c25/26o
O00470;0;0;i
O00471;0;0;i
O00472;0;0;i
O00476;8;0;i124-146o152-175i216-239o259-280i292-310o316-338i350-373o385-403i
O00478;1;Y;n6-24c29/30o248-271i
O00481;1;Y;n6-24c42/43o248-271i
O00482;0;0;i
O00483;1;0;i12-34o
O00487;0;0;i
O00488;0;0;i
O00499;0;0;i
O00501;3;Y;n8-19c24/25o79-102i123-144o164-189i
O00505;0;0;i
O00506;0;0;i
O00507;0;0;i
O00512;0;0;i
O00519;1;0;o6-29i
O00522;0;0;i
O00526;1;Y;n9-20c25/26o157-180i
O00533;1;Y;n4-19c24/25o1082-1103i
O00541;0;0;i
O00548;1;Y;n5-16c21/22o545-569i
O00555;23;0;i102-119o139-159i171-189o222-245i304-325o337-359i487-506o518-538i550-570o576-593i613-635o689-713i1242-1261o1281-1302i1314-1331o1376-1398i1488-1513o1569-1587i1599-1622o1628-1646i1667-1684o1690-1708i1786-1810o
O00559;0;Y;n11-22c27/28o
O00560;1;0;o257-279i
O00562;0;0;i
O00566;0;0;i
O00567;0;0;i
O00571;0;0;i
O00574;7;0;o32-59i68-88o108-129i150-169o198-218i230-247o267-291i
O00584;0;Y;n8-19c24/25o
O00585;0;Y;n5-16c23/24o
O00587;0;Y;n8-18c23/24o
O00590;7;0;o51-72i84-111o123-141i162-183o216-240i252-272o292-314i
O00591;4;Y;n4-15c20/21o242-264i276-296o308-326i420-439o
O00592;1;Y;n3-14c22/23o458-481i
O00602;0;Y;n11-22c29/30o
O00622;0;Y;n8-19c24/25o
O00623;0;0;i
O00624;9;0;i98-118o124-150i181-203o209-232i275-296o316-338i350-369o375-396i408-432o
O00625;0;0;i
O00626;0;Y;n8-19c24/25o
O00628;0;0;i
O00629;0;0;i
O00631;1;0;i7-26o
O00635;0;Y;n14-22c31/32o
O00712;0;0;i
O00716;0;0;i
O00743;0;0;i
O00744;0;Y;n12-23c28/29o
O00746;0;0;i
O00748;0;Y;n10-21c26/27o
O00750;0;0;i
O00754;0;Y;n35-45c49/50o
O00755;0;Y;n8-21c33/34o
O00757;0;0;i
O00762;0;0;i
O00763;0;Y;n3-15c20/21o
O00764;1;0;i226-244o
O00767;6;0;i72-93o105-123i222-239o251-273i285-301o313-334i
O14490;0;0;i
O14492;0;0;i
O14493;3;Y;n10-21c26/27o79-99i119-140o160-183i
O14494;6;0;i7-27o54-73i94-112o165-185i197-216o228-250i
O14495;5;0;i34-54o85-106i195-213o225-243i255-275o
O14497;0;0;i
O14503;0;0;i
O14508;0;0;i
O14511;1;0;o406-428i
O14512;0;0;i
O14514;7;Y;n13-24c36/37o949-970i982-1001o1013-1031i1052-1071o1091-1114i1135-1157o1163-1187i
O14519;0;Y;n7-18c30/31o
O14520;6;0;i37-60o66-85i114-138o144-162i203-225o253-276i
O14521;0;Y;n3-14c22/23o
O14522;1;Y;n2-13c25/26o747-768i
O14523;1;0;o12-31i
O14524;5;0;i163-180o186-208i215-234o246-266i286-310o
O14525;2;Y;n2-13c21/22o151-175i386-404o
O14526;0;0;i
O14529;0;0;i
O14530;0;0;i
O14531;0;0;i
O14543;0;0;i
O14544;0;0;i
O14556;0;Y;n6-17c25/26o
O14558;0;0;i
O14559;0;0;i
O14561;0;Y;n26-37c55/56o
O14569;6;0;i21-38o44-67i87-105o125-143i164-185o191-216i
O14576;0;0;i
O14578;0;0;i
O14579;0;0;i
O14593;0;0;i
O14594;0;Y;n5-18c22/23o
O14595;0;0;i
O14607;0;Y;n4-11c16/17o
O14610;0;0;i
O14613;0;0;i
O14617;0;0;i
O14618;0;0;i
O14625;0;Y;n7-16c21/22o
O14627;0;0;i
O14628;0;0;i
O14633;0;0;i
O14638;1;0;i21-45o
O14639;0;Y;n3-11c16/17o
O14640;0;0;i
O14641;0;0;i
O14645;0;0;i
O14646;0;0;i
O14647;0;0;i
O14649;5;Y;n8-19c23/24o76-96i108-128o156-177i189-208o220-246i
O14653;1;0;i191-211o
O14654;0;Y;n17-28c36/37o
O14656;0;Y;n6-14c20/21o
O14657;0;Y;n9-19c24/25o
O14662;1;0;i303-322o
O14669;1;Y;n7-18c23/24o107-132i
O14672;1;Y;n2-13c18/19o676-696i
O14678;5;0;i39-58o78-96i157-176o182-201i268-294o
O14681;6;0;i75-94o114-137i175-196o202-222i242-275o287-305i
O14682;0;0;i
O14684;3;0;o12-33i76-92o98-118i
O14686;0;0;i
O14713;0;0;i
O14717;0;0;i
O14727;0;0;i
O14730;0;0;i
O14732;0;0;i
O14733;0;0;i
O14734;0;0;i
O14735;3;0;o6-29i140-159o171-195i
O14737;0;0;i
O14744;0;0;i
O14745;0;0;i
O14746;0;0;i
O14756;0;0;i
O14757;0;0;i
O14763;1;Y;n37-48c53/54o211-236i
O14764;5;Y;n7-16c21/22o250-270i282-301o313-335i356-376o429-449i
O14770;0;0;i
O14771;0;0;i
O14772;0;0;i
O14773;0;Y;n3-15c19/20o
O14775;0;0;i
O14776;0;0;i
O14777;0;0;i
O14782;0;0;i
O14786;1;Y;n5-16c21/22o857-882i
O14787;0;0;i
O14788;1;0;i49-70o
O14791;0;Y;n4-15c27/28o
O14792;0;Y;n2-13c20/21o
O14793;0;Y;n4-14c18/19o
O14795;0;0;i
O14796;1;0;o36-56i
O14798;1;Y;n10-21c25/26o239-258i
O14802;0;0;i
O14804;7;0;o35-59i71-91o111-130i151-171o199-220i253-270o290-312i
O14807;0;0;i
O14810;0;0;i
O14813;0;0;i
O14815;0;0;i
O14817;4;0;i12-36o56-76i83-107o202-223i
O14818;0;0;i
O14827;0;0;i
O14828;4;0;i168-191o197-218i230-254o274-297i
O14829;0;0;i
O14830;0;0;i
O14832;0;0;i
O14836;1;0;o161-186i
O14841;0;0;i
O14842;7;0;o12-30i42-61o81-100i121-144o184-210i222-240o260-279i
O14843;6;0;o15-40i52-70o90-111i132-153o188-211i223-241o
O14862;0;0;i
O14863;6;0;o114-135i147-164o184-203i215-236o274-295i307-325o
O14867;0;0;i
O14874;0;0;i
O14879;0;0;i
O14880;3;0;i7-27o85-105i117-137o
O14893;0;0;i
O14894;4;0;i7-28o48-70i91-112o158-185i
O14896;0;0;i
O14901;0;0;i
O14904;0;Y;n11-24c29/30o
O14905;0;Y;n6-17c21/22o
O14907;0;0;i
O14908;0;0;i
O14910;0;0;i
O14917;1;Y;n3-13c17/18o704-728i
O14920;0;0;i
O14924;0;0;i
O14925;2;0;i75-96o126-145i
O14926;0;0;i
O14929;0;0;i
O14931;0;Y;n5-12c17/18o
O14933;0;0;i
O14936;1;0;i202-221o
O14939;0;0;i
O14944;1;Y;n17-27c32/33o118-141i
O14948;0;0;i
O14949;1;0;o45-63i
O14950;0;0;i
O14958;0;Y;n6-14c19/20o
O14960;0;Y;n6-13c18/19o
O14964;0;0;i
O14965;0;0;i
O14966;0;0;i
O14967;1;Y;n5-15c19/20o471-492i
O14972;0;0;i
O14974;0;0;i
O14975;3;Y;n8-19c24/25o118-138i242-264o270-288i
O14976;0;0;i
O14977;0;0;i
O14978;0;0;i
O14979;0;0;i
O14980;0;0;i
O14981;0;0;i
O14983;8;0;i60-78o84-107i260-280o292-321i760-781o793-812i833-857o931-950i
O14986;0;0;i
O14994;0;0;i
O15013;1;0;o1164-1186i
O15014;0;0;i
O15015;0;0;i
O15018;0;0;i
O15020;0;0;i
O15021;0;0;i
O15027;0;0;i
O15031;1;Y;n3-14c18/19o1200-1221i
O15033;0;0;i
O15040;0;0;i
O15041;0;Y;n7-17c25/26o
O15042;0;0;i
O15047;0;0;i
O15049;0;0;i
O15054;0;0;i
O15055;0;0;i
O15056;1;0;i621-638o
O15060;0;0;i
O15061;0;0;i
O15062;0;0;i
O15066;0;0;i
O15067;0;0;i
O15068;0;0;i
O15072;0;Y;n3-14c22/23o
O15075;0;0;i
O15078;0;0;i
O15079;1;0;o425-444i
O15083;0;0;i
O15084;0;0;i
O15085;0;0;i
O15091;0;0;i
O15105;0;0;i
O15111;0;0;i
O15116;0;0;i
O15117;0;0;i
O15118;13;Y;n5-16c22/23o267-293i351-371o621-642i654-678o684-706i727-754o760-785i833-853o1099-1117i1124-1145o1151-1169i1190-1216o1228-1251i
O15119;0;0;i
O15120;3;Y;n6-18c23/24o33-50i123-141o188-207i
O15121;6;0;i43-62o68-92i104-122o150-172i184-204o210-231i
O15123;0;Y;n4-11c16/17o
O15126;4;0;i153-174o186-206i218-238o258-282i
O15127;4;0;i152-174o186-203i215-239o259-283i
O15130;0;Y;n6-16c21/22o
O15131;0;0;i
O15143;0;0;i
O15144;0;0;i
O15145;0;0;i
O15146;1;Y;n4-15c19/20o492-518i
O15151;0;0;i
O15155;1;0;i96-115o
O15156;0;0;i
O15160;0;0;i
O15162;0;0;i
O15164;0;Y;n8-19c25/26o
O15165;1;0;o65-86i
O15169;0;0;i
O15173;1;0;o54-72i
O15178;0;0;i
O15182;0;0;i
O15194;0;0;i
O15195;0;0;i
O15197;1;Y;n13-26c31/32o595-619i
O15198;0;0;i
O15204;0;Y;n15-26c30/31o
O15205;0;0;i
O15209;0;0;i
O15211;0;0;i
O15212;0;0;i
O15213;0;0;i
O15217;0;0;i
O15226;0;0;i
O15228;0;0;i
O15229;2;0;i385-406o426-445i
O15230;0;Y;n20-30c35/36o
O15231;0;0;i
O15232;0;Y;n12-23c28/29o
O15234;0;0;i
O15239;1;0;o6-27i
O15240;0;Y;n6-17c22/23o
O15243;4;0;o6-25i32-51o71-93i100-121o
O15244;12;0;i23-45o151-171i178-196o202-225i237-258o264-283i350-370o376-398i405-424o430-453i465-485o491-514i
O15245;12;0;i21-44o150-170i177-197o203-224i236-257o263-282i348-367o379-397i404-423o429-452i464-484o490-513i
O15247;0;0;i
O15254;0;0;i
O15258;4;0;i41-60o66-83i121-139o145-162i
O15259;0;0;i
O15260;7;0;o63-85i92-111o117-134i155-173o179-199i206-227o239-260i
O15263;0;Y;n4-15c23/24o
O15264;0;0;i
O15265;0;0;i
O15266;0;0;i
O15269;2;0;o20-40i161-179o
O15270;1;0;o68-87i
O15273;0;0;i
O15287;0;0;i
O15294;0;0;i
O15296;0;0;i
O15297;0;0;i
O15303;7;Y;n11-22c29/30o590-611i623-643o655-676i697-718o749-770i782-807o813-837i
O15304;0;0;i
O15305;0;0;i
O15315;0;0;i
O15318;0;0;i
O15327;0;0;i
O15342;2;0;o6-28i35-58o
O15344;0;0;i
O15347;0;0;i
O15350;0;0;i
O15353;0;0;i
O15354;7;Y;n14-24c29/30o259-287i299-319o339-360i381-400o443-464i492-520o532-552i
O15355;0;0;i
O15357;0;0;i
O15360;2;0;o1165-1185i1256-1273o
O15370;0;0;i
O15371;0;0;i
O15372;0;0;i
O15374;12;0;i21-47o59-81i88-104o110-132i144-162o174-195i300-318o338-358i370-386o392-414i426-447o459-479i
O15379;0;0;i
O15381;0;0;i
O15382;0;0;i
O15389;1;Y;n4-11c16/17o439-462i
O15391;0;0;i
O15392;0;0;i
O15393;1;0;i84-106o
O15394;1;Y;n3-14c19/20o695-718i
O15397;0;0;i
O15399;4;Y;n17-28c46/47o584-607i628-645o657-682i846-865o
O15400;1;0;i238-259o
O15405;0;0;i
O15409;0;0;i
O15427;12;0;i20-38o61-82i89-107o113-130i151-170o176-197i228-251o263-281i293-312o318-340i352-371o383-409i
O15431;4;0;i45-63o69-86i130-150o156-175i
O15432;3;0;o20-40i89-114o120-140i
O15438;17;0;o36-55i75-92o104-123i135-152o172-190i299-320o347-367i423-445o451-471i536-556o568-585i965-992o1012-1035i1082-1104o1110-1129i1194-1217o1223-1244i
O15439;12;0;i92-114o134-157i208-227o233-254i321-342o348-369i711-730o767-791i835-854o860-882i948-970o976-997i
O15440;12;0;i179-199o219-242i291-313o319-336i395-416o428-447i857-880o913-937i993-1011o1017-1036i1104-1121o1127-1147i
O15444;0;Y;n3-14c23/24o
O15446;0;0;i
O15455;1;Y;n4-15c23/24o704-725i
O15457;0;0;i
O15460;0;Y;n3-16c21/22o
O15466;1;0;o17-37i
O15467;0;Y;n6-17c22/23o
O15479;0;0;i
O15481;0;0;i
O15484;0;0;i
O15488;0;0;i
O15492;0;0;i
O15496;0;Y;n6-25c33/34o
O15498;0;0;i
O15499;0;0;i
O15503;6;0;i89-107o127-147i159-177o183-204i211-230o242-263i
O15504;0;0;i
O15511;0;0;i
O15514;0;0;i
O15516;0;0;i
O15519;0;0;i
O15520;0;Y;n19-30c39/40o
O15522;0;0;i
O15523;0;0;i
O15524;0;0;i
O15525;0;0;i
O15527;0;Y;n15-26c30/31o
O15528;0;0;i
O15529;6;0;o15-40i52-70o90-111i132-153o188-211i223-241o
O15530;0;0;i
O15533;1;Y;n4-15c20/21o416-437i
O15534;0;0;i
O15535;0;0;i
O15537;0;Y;n7-15c23/24o
O15540;0;0;i
O15541;0;0;i
O15547;3;0;o40-59i321-339o345-362i
O15550;0;Y;n4-14c19/20o
O15551;4;0;i7-29o78-104i116-139o159-182i
O15552;7;0;o12-32i44-64o76-103i124-150o179-200i220-240o252-275i
O15553;0;0;i
O15554;4;0;i25-48o54-79i207-226o262-286i
O42043;2;0;i355-380o526-544i
O43143;0;0;i
O43147;0;0;i
O43148;0;0;i
O43149;0;0;i
O43150;0;0;i
O43151;0;0;i
O43155;2;0;i12-30o541-564i
O43156;0;0;i
O43157;1;Y;n3-14c19/20o1491-1511i
O43159;0;0;i
O43164;0;0;i
O43166;0;0;i
O43167;0;0;i
O43169;1;0;o123-143i
O43172;0;0;i
O43173;1;0;i12-33o
O43174;0;Y;n3-22c27/28o
O43175;0;0;i
O43181;0;Y;n19-27c36/37o
O43182;0;Y;n3-13c21/22o
O43184;1;Y;n13-23c28/29o708-729i
O43186;0;0;i
O43187;0;0;i
O43189;0;0;i
O43193;7;0;o37-63i75-93o113-134i155-179o247-270i299-322o334-358i
O43194;7;0;o28-51i72-92o112-131i152-174o224-246i283-301o321-343i
O43196;0;0;i
O43236;0;0;i
O43237;0;0;i
O43240;0;Y;n20-28c33/34o
O43242;0;0;i
O43248;0;0;i
O43251;0;0;i
O43252;0;0;i
O43255;0;0;i
O43257;0;0;i
O43264;0;0;i
O43272;0;0;i
O43278;1;Y;n19-30c35/36o466-488i
O43280;0;Y;n8-18c23/24o
O43281;0;0;i
O43283;0;0;i
O43286;0;Y;n14-29c34/35o
O43290;0;0;i
O43291;1;Y;n12-22c27/28o198-221i
O43292;7;0;o20-41i357-385o422-444i456-478o498-523i543-564o598-620i
O43293;0;0;i
O43294;0;0;i
O43295;0;0;i
O43296;0;0;i
O43298;0;0;i
O43299;0;0;i
O43300;1;Y;n14-24c33/34o423-444i
O43303;0;0;i
O43306;12;0;i152-172o178-198i210-230o236-253i260-278o290-310i669-690o696-721i742-762o815-833i840-862o893-911i
O43307;0;0;i
O43309;0;0;i
O43310;0;0;i
O43312;0;0;i
O43313;0;Y;n6-16c21/22o
O43314;0;0;i
O43315;7;0;o30-49i56-75o81-97i104-125o158-179i191-209o243-265i
O43316;0;0;i
O43318;0;0;i
O43320;0;0;i
O43323;0;Y;n7-18c22/23o
O43324;0;0;i
O43353;0;0;i
O43364;0;0;i
O43365;0;0;i
O43374;0;0;i
O43379;0;0;i
O43390;0;0;i
O43395;0;0;i
O43396;0;0;i
O43399;0;0;i
O43402;0;0;i
O43405;0;Y;n8-18c26/27o
O43422;0;0;i
O43424;4;Y;n3-14c23/24o567-587i599-616o636-658i831-855o
O43426;0;0;i
O43427;0;0;i
O43432;0;0;i
O43435;0;0;i
O43439;0;0;i
O43447;0;0;i
O43448;0;0;i
O43451;1;0;i12-35o
O43462;7;0;o6-24i75-95o157-174i186-205o225-251i447-472o492-516i
O43463;0;0;i
O43464;1;0;i105-124o
O43474;0;0;i
O43482;0;0;i
O43488;0;0;i
O43490;5;Y;n3-14c19/20o108-132i153-178o433-460i481-507o793-813i
O43491;0;0;i
O43493;1;Y;n3-10c15/16o385-402i
O43497;22;0;o82-101i122-142o214-237i342-363o369-394i744-762o774-795i807-823o865-884i905-921o941-964i1277-1295o1315-1336i1348-1367o1412-1434i1514-1537o1612-1633i1645-1668o1680-1701i1722-1740o1746-1765i1829-1851o
O43502;0;0;i
O43504;0;0;i
O43505;0;Y;n14-33c38/39o
O43506;1;Y;n12-23c31/32o693-714i
O43508;0;Y;n20-39c51/52o
O43511;11;0;i84-107o113-130i137-156o187-212i219-240o260-285i343-365o385-408i420-442o448-468i480-507o
O43513;0;0;i
O43516;0;0;i
O43520;10;0;i116-133o139-161i339-362o382-406i950-971o983-1003i1033-1057o1069-1088i1100-1124o1144-1167i
O43521;0;0;i
O43524;0;0;i
O43525;7;0;i123-143o155-177i198-215o221-240i261-282o302-319i331-357o
O43526;6;0;i93-112o124-147i168-187o234-252i264-281o293-318i
O43529;0;Y;n6-17c22/23o
O43541;0;0;i
O43542;0;0;i
O43543;0;0;i
O43548;0;0;i
O43556;1;0;o317-340i
O43557;1;0;i35-59o
O43559;0;0;i
O43561;0;Y;n4-22c29/30o
O43566;0;0;i
O43567;1;Y;n2-12c17/18o182-207i
O43570;1;Y;n6-17c29/30o300-327i
O43572;0;0;i
O43581;1;0;o20-41i
O43583;0;0;i
O43586;0;0;i
O43592;0;0;i
O43593;0;0;i
O43597;1;0;o253-270i
O43598;0;0;i
O43602;0;0;i
